Index / Sector,Stocks,Successful,Average 3M Return,Average RS 3M,Median RS 3M,Positive RS %,RS > +5 %,RS > +10 %,Top Stock,Top Stock RS
niftyindiadefence,18,18,19.286825,16.846929,5.084107,72.222222,50.0,38.888889,PARAS,87.518369
niftyauto,15,15,16.835351,14.395455,13.074744,86.666667,80.0,60.0,SONACOMS,38.224147
niftyrealty,10,10,14.86329,12.423394,12.625418,80.0,70.0,70.0,LODHA,37.871278
Nifty India Internet Index,27,27,13.868201,11.428305,6.70376,70.37037,59.259259,40.740741,CARTRADE,61.408435
niftymedia,10,10,10.702382,8.262486,5.361747,60.0,50.0,40.0,ZEEL,27.061423
niftyevnewageautomotive,35,35,10.325563,7.885667,6.155006,62.857143,54.285714,42.857143,ATHERENERG,60.564715
niftyit,10,10,10.060147,7.620252,8.745033,70.0,70.0,40.0,COFORGE,34.234033
niftyconsumerdurables,15,15,9.922931,7.483035,0.812137,53.333333,40.0,33.333333,KALYANKJIL,66.398631
niftybank,14,14,9.32919,6.889294,8.668905,71.428571,57.142857,42.857143,IDFCFIRSTB,23.240924
niftyprivatebank,10,10,9.206638,6.766742,6.275316,70.0,50.0,40.0,IDFCFIRSTB,23.240924
niftyindiadigital,30,30,8.283254,5.843358,3.608249,60.0,50.0,36.666667,NAUKRI,44.48588
nifty500healthcare,47,47,7.777313,5.337417,4.434531,61.702128,46.808511,34.042553,NEULANDLAB,38.77041
niftypharma,19,19,7.535658,5.095762,1.523381,57.894737,42.105263,36.842105,LAURUSLABS,32.645226
niftymidsmallitandtelecom,20,20,7.151859,4.711963,0.553547,55.0,45.0,35.0,HFCL,55.514249
niftymidsmallhealthcare,29,29,6.454323,4.014428,3.336984,58.62069,48.275862,37.931034,NEULANDLAB,38.77041
niftynext50,50,50,6.370981,3.931085,2.048655,58.0,40.0,30.0,NAUKRI,44.48588
niftymidsmallfinancailservice,29,29,5.700504,3.260609,2.984305,58.62069,44.827586,27.586207,PAYTM,36.327844
nifty500,498,498,5.587909,3.148013,0.684831,52.610442,38.955823,28.714859,AEGISLOG,81.141886
niftyoilgas,14,14,3.792592,1.352696,-2.256552,50.0,28.571429,7.142857,AEGISLOG,81.141886
nifty200,200,200,3.679162,1.239266,0.129694,51.0,33.0,24.5,KALYANKJIL,66.398631
niftylargemidcap250,250,250,3.664521,1.224626,0.343131,51.6,34.8,24.4,KALYANKJIL,66.398631
niftychemicals,20,20,3.611177,1.171282,2.11691,55.0,40.0,30.0,FLUOROCHEM,19.906867
niftyhealthcare,20,20,3.354046,0.914151,-3.026623,45.0,25.0,20.0,LAURUSLABS,32.645226
niftypsubank,12,12,3.131215,0.691319,-0.520977,50.0,25.0,16.666667,PNB,13.337184
niftyfinancialservicesexbank,29,29,3.045804,0.605908,-4.11805,44.827586,34.482759,24.137931,PAYTM,36.327844
niftyhousing,47,47,3.036271,0.596375,-1.424042,46.808511,34.042553,23.404255,DIXON,29.466304
nifty50,50,50,1.984688,-0.455208,-1.213948,48.0,28.0,18.0,ETERNAL,33.04864
niftyfinance,20,20,1.768478,-0.671418,-3.325616,45.0,30.0,25.0,CHOLAFIN,23.15186
niftyfinancialservices25-50,20,20,1.768478,-0.671418,-3.325616,45.0,30.0,25.0,CHOLAFIN,23.15186
niftymetal,15,15,0.960806,-1.47909,-7.215304,26.666667,26.666667,13.333333,WELCORP,48.304353
niftyinfra,30,30,0.645953,-1.793942,-2.619563,43.333333,26.666667,16.666667,MOTHERSON,21.341126
niftyfmcg,15,15,-2.459842,-4.899738,-9.350345,33.333333,13.333333,13.333333,RADICO,29.03075
niftyenergy,39,39,-3.434904,-5.8748,-6.928476,25.641026,15.384615,7.692308,AEGISLOG,81.141886
niftyindiarailwayspsu,16,16,-5.100475,-7.54037,-9.644626,25.0,6.25,6.25,MRPL,13.415468
niftycpse,11,11,-9.797457,-12.237352,-12.72981,0.0,0.0,0.0,BEL,-5.056451
